day,never_R,once_R,monthly_R,biweekly_R,weekly_R,every_3d_R,daily_R,never_decay,once_decay,monthly_decay,biweekly_decay,weekly_decay,every_3d_decay,daily_decay
0,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000
1,0.583336,0.729168,0.729168,0.729168,0.729168,0.729168,0.729168,0.020000,0.014857,0.014857,0.014857,0.014857,0.014857,0.014857
2,0.566946,0.715457,0.715457,0.715457,0.715457,0.715457,0.815047,0.020000,0.014857,0.014857,0.014857,0.014857,0.014857,0.011976
3,0.550839,0.701862,0.701862,0.701862,0.701862,0.701862,0.872279,0.020000,0.014857,0.014857,0.014857,0.014857,0.014857,0.010180
4,0.535018,0.688386,0.688386,0.688386,0.688386,0.797451,0.910481,0.020000,0.014857,0.014857,0.014857,0.014857,0.011779,0.008951
5,0.519489,0.675035,0.675035,0.675035,0.675035,0.786183,0.936046,0.020000,0.014857,0.014857,0.014857,0.014857,0.011779,0.008040
6,0.504255,0.661812,0.661812,0.661812,0.661812,0.774972,0.953228,0.020000,0.014857,0.014857,0.014857,0.014857,0.011779,0.007318
7,0.489320,0.648721,0.648721,0.648721,0.648721,0.846483,0.964853,0.020000,0.014857,0.014857,0.014857,0.014857,0.009778,0.006719
8,0.474688,0.635766,0.635766,0.635766,0.763248,0.836949,0.972794,0.020000,0.014857,0.014857,0.014857,0.011401,0.009778,0.006203
9,0.460359,0.622951,0.622951,0.622951,0.752515,0.827446,0.978288,0.020000,0.014857,0.014857,0.014857,0.011401,0.009778,0.005746
10,0.446336,0.610278,0.610278,0.610278,0.741843,0.881684,0.982154,0.020000,0.014857,0.014857,0.014857,0.011401,0.008383,0.005337
11,0.432621,0.597751,0.597751,0.597751,0.731233,0.873427,0.984933,0.020000,0.014857,0.014857,0.014857,0.011401,0.008383,0.004964
12,0.419213,0.585373,0.585373,0.585373,0.720688,0.865187,0.986981,0.020000,0.014857,0.014857,0.014857,0.011401,0.008383,0.004623
13,0.406114,0.573147,0.573147,0.573147,0.710210,0.907028,0.988533,0.020000,0.014857,0.014857,0.014857,0.011401,0.007349,0.004309
14,0.393321,0.561074,0.561074,0.561074,0.699800,0.899748,0.989746,0.020000,0.014857,0.014857,0.014857,0.011401,0.007349,0.004019
15,0.380836,0.549158,0.549158,0.706953,0.798151,0.892479,0.990723,0.020000,0.014857,0.014857,0.010805,0.009045,0.007349,0.003751
16,0.368655,0.537401,0.537401,0.697108,0.789490,0.925394,0.991532,0.020000,0.014857,0.014857,0.010805,0.009045,0.006543,0.003501
17,0.356779,0.525804,0.525804,0.687327,0.780862,0.918890,0.992220,0.020000,0.014857,0.014857,0.010805,0.009045,0.006543,0.003270
18,0.345204,0.514369,0.514369,0.677612,0.772269,0.912394,0.992818,0.020000,0.014857,0.014857,0.010805,0.009045,0.006543,0.003055
19,0.333928,0.503099,0.503099,0.667964,0.763710,0.938838,0.993346,0.020000,0.014857,0.014857,0.010805,0.009045,0.005890,0.002854
20,0.322949,0.491993,0.491993,0.658386,0.755188,0.932972,0.993820,0.020000,0.014857,0.014857,0.010805,0.009045,0.005890,0.002668
21,0.312263,0.481054,0.481054,0.648877,0.746704,0.927111,0.994249,0.020000,0.014857,0.014857,0.010805,0.009045,0.005890,0.002494
22,0.301867,0.470282,0.470282,0.639441,0.829868,0.948816,0.994641,0.020000,0.014857,0.014857,0.010805,0.007394,0.005344,0.002331
23,0.291757,0.459678,0.459678,0.630078,0.822698,0.943488,0.995001,0.020000,0.014857,0.014857,0.010805,0.007394,0.005344,0.002180
24,0.281930,0.449243,0.449243,0.620789,0.815546,0.938163,0.995334,0.020000,0.014857,0.014857,0.010805,0.007394,0.005344,0.002039
25,0.272381,0.438978,0.438978,0.611577,0.808413,0.956347,0.995642,0.020000,0.014857,0.014857,0.010805,0.007394,0.004876,0.001907
26,0.263106,0.428882,0.428882,0.602441,0.801301,0.951481,0.995928,0.020000,0.014857,0.014857,0.010805,0.007394,0.004876,0.001784
27,0.254100,0.418956,0.418956,0.593383,0.794210,0.946618,0.996193,0.020000,0.014857,0.014857,0.010805,0.007394,0.004876,0.001669
28,0.245359,0.409200,0.409200,0.584405,0.787140,0.962142,0.996441,0.020000,0.014857,0.014857,0.010805,0.007394,0.004468,0.001562
29,0.236878,0.399614,0.399614,0.724080,0.857060,0.957682,0.996671,0.020000,0.014857,0.014857,0.007987,0.006198,0.004468,0.001462
30,0.228651,0.390197,0.390197,0.716717,0.850994,0.953223,0.996886,0.020000,0.014857,0.014857,0.007987,0.006198,0.004468,0.001368
31,0.220675,0.380949,0.597617,0.709387,0.844939,0.966698,0.997087,0.020000,0.014857,0.009744,0.007987,0.006198,0.004107,0.001280
32,0.212944,0.371870,0.589482,0.702092,0.838895,0.962596,0.997275,0.020000,0.014857,0.009744,0.007987,0.006198,0.004107,0.001198
33,0.205452,0.362959,0.581413,0.694831,0.832864,0.958495,0.997450,0.020000,0.014857,0.009744,0.007987,0.006198,0.004107,0.001122
34,0.198194,0.354215,0.573408,0.687606,0.826845,0.970357,0.997613,0.020000,0.014857,0.009744,0.007987,0.006198,0.003785,0.001050
35,0.191166,0.345637,0.565471,0.680416,0.820839,0.966576,0.997766,0.020000,0.014857,0.009744,0.007987,0.006198,0.003785,0.001000
36,0.184361,0.337224,0.557600,0.673263,0.879650,0.962795,0.997898,0.020000,0.014857,0.009744,0.007987,0.005304,0.003785,0.001000
37,0.177775,0.328975,0.549796,0.666147,0.874426,0.973360,0.997984,0.020000,0.014857,0.009744,0.007987,0.005304,0.003496,0.001000
38,0.171401,0.320889,0.542061,0.659070,0.869210,0.969867,0.998039,0.020000,0.014857,0.009744,0.007987,0.005304,0.003496,0.001000
39,0.165236,0.312965,0.534394,0.652030,0.864000,0.966375,0.998076,0.020000,0.014857,0.009744,0.007987,0.005304,0.003496,0.001000
40,0.159273,0.305200,0.526797,0.645030,0.858798,0.975874,0.998099,0.020000,0.014857,0.009744,0.007987,0.005304,0.003234,0.001000
41,0.153507,0.297595,0.519269,0.638069,0.853604,0.972643,0.998114,0.020000,0.014857,0.009744,0.007987,0.005304,0.003234,0.001000
42,0.147933,0.290146,0.511812,0.631148,0.848417,0.969412,0.998124,0.020000,0.014857,0.009744,0.007987,0.005304,0.003234,0.001000
43,0.142546,0.282853,0.504425,0.755774,0.898106,0.978018,0.998131,0.020000,0.014857,0.009744,0.006086,0.004614,0.002995,0.001000
